"","county_desc","precinct_abbrv","vtd_abbrv","party_cd","race_code","ethnic_code","sex_code","age","actual_voters","total_voters","non_voters"
"54028","ROBESON","32A","32","DEM","O","NL","M","Age 18 - 25",1,3,2
"54029","CATAWBA","33","33","DEM","O","NL","M","Age 18 - 25",1,2,1
"54037","CATAWBA","37","37","DEM","O","NL","M","Age 18 - 25",1,3,2
"54039","CATAWBA","39","39","DEM","O","NL","M","Age 18 - 25",1,1,0
"54064","CHATHAM","85","85","DEM","O","NL","M","Age 18 - 25",2,3,1
"54073","LINCOLN","AS25","AS25","DEM","O","NL","M","Age 18 - 25",1,1,0
"54074","ROCKINGHAM","WS","AV","DEM","O","NL","M","Age 18 - 25",1,1,0
"54080","ONSLOW","BM08","BM08","DEM","O","NL","M","Age 18 - 25",1,6,5
"54095","ONSLOW","CL10","CL10","DEM","O","NL","M","Age 18 - 25",2,2,0
"54103","LINCOLN","DN29","DN29","DEM","O","NL","M","Age 18 - 25",1,1,0
"54175","VANCE","HTOP","HTOP","DEM","O","NL","M","Age 18 - 25",1,1,0
"54176","ONSLOW","HU20","HU20","DEM","O","NL","M","Age 18 - 25",1,1,0
"54186","ROCKINGHAM","LI","LI","DEM","O","NL","M","Age 18 - 25",1,2,1
"54188","CASWELL","LOCU","LOCU","DEM","O","NL","M","Age 18 - 25",1,1,0
"54189","LINCOLN","LS12","LS12","DEM","O","NL","M","Age 18 - 25",1,1,0
"54190","DUPLIN","MAGN","MAGN","DEM","O","NL","M","Age 18 - 25",1,2,1
"54196","ONSLOW","MT24","MT24","DEM","O","NL","M","Age 18 - 25",1,2,1
"54199","ROCKINGHAM","NB","NB","DEM","O","NL","M","Age 18 - 25",1,2,1
"54202","ONSLOW","NE22A","NE22","DEM","O","NL","M","Age 18 - 25",1,3,2
"54203","VANCE","NH1","NH1","DEM","O","NL","M","Age 18 - 25",2,3,1
"54205","ONSLOW","NR02","NR02","DEM","O","NL","M","Age 18 - 25",1,2,1
"54207","LINCOLN","ST36","OG10","DEM","O","NL","M","Age 18 - 25",1,1,0
"54226","WILSON","PRCR","PRCR","DEM","O","NL","M","Age 18 - 25",1,1,0
"54227","WILSON","PRWB","PRWB","DEM","O","NL","M","Age 18 - 25",1,1,0
"54228","WILSON","PRWI","PRWI","DEM","O","NL","M","Age 18 - 25",1,1,0
"54229","WILSON","PRWN","PRWN","DEM","O","NL","M","Age 18 - 25",1,2,1
"54231","ONSLOW","RL09","RL09","DEM","O","NL","M","Age 18 - 25",1,1,0
"54237","DUPLIN","SMCA","SMCA","DEM","O","NL","M","Age 18 - 25",1,1,0
"54247","DUPLIN","WALL","WALL","DEM","O","NL","M","Age 18 - 25",1,1,0
"54248","DUPLIN","WARS","WARS","DEM","O","NL","M","Age 18 - 25",1,1,0
"54260","ALAMANCE","06S","06S","LIB","O","NL","M","Age 18 - 25",1,2,1
"54280","ONSLOW","JA01","JA01","LIB","O","NL","M","Age 18 - 25",1,2,1
"54281","LINCOLN","LN11","LN11","LIB","O","NL","M","Age 18 - 25",1,1,0
"54288","BURKE","0011","0011","REP","O","NL","M","Age 18 - 25",1,2,1
"54289","BURKE","0024","0024","REP","O","NL","M","Age 18 - 25",1,2,1
"54319","CATAWBA","03","03","REP","O","NL","M","Age 18 - 25",1,1,0
"54329","ALAMANCE","03W","03W","REP","O","NL","M","Age 18 - 25",1,1,0
"54357","GATES","1","1","REP","O","NL","M","Age 18 - 25",1,1,0
"54400","CATAWBA","19","19","REP","O","NL","M","Age 18 - 25",1,1,0
"54416","ROBESON","22","22","REP","O","NL","M","Age 18 - 25",1,1,0
"54419","CATAWBA","23","23","REP","O","NL","M","Age 18 - 25",1,1,0
"54430","CATAWBA","30","30","REP","O","NL","M","Age 18 - 25",1,1,0
"54432","ROBESON","30","30","REP","O","NL","M","Age 18 - 25",1,1,0
"54437","CATAWBA","32","32","REP","O","NL","M","Age 18 - 25",1,1,0
"54438","ROBESON","32A","32","REP","O","NL","M","Age 18 - 25",1,1,0
"54443","CATAWBA","39","39","REP","O","NL","M","Age 18 - 25",1,1,0
"54446","CHATHAM","45","45","REP","O","NL","M","Age 18 - 25",1,1,0
"54454","CHATHAM","75","75","REP","O","NL","M","Age 18 - 25",1,1,0
"54462","ONSLOW","BM08","BM08","REP","O","NL","M","Age 18 - 25",2,8,6
"54474","ONSLOW","CR07","CR07","REP","O","NL","M","Age 18 - 25",1,1,0
"54475","LINCOLN","DN29","DN29","REP","O","NL","M","Age 18 - 25",1,1,0
"54479","ONSLOW","EN03","EN03","REP","O","NL","M","Age 18 - 25",4,13,9
"54484","ONSLOW","FS16","FS16","REP","O","NL","M","Age 18 - 25",1,1,0
"54498","ONSLOW","GB12","GB12","REP","O","NL","M","Age 18 - 25",1,2,1
"54504","ONSLOW","HM05","HM05","REP","O","NL","M","Age 18 - 25",2,2,0
"54505","ONSLOW","JA01","JA01","REP","O","NL","M","Age 18 - 25",4,18,14
"54513","ROCKINGHAM","LI","LI","REP","O","NL","M","Age 18 - 25",1,1,0
"54515","LINCOLN","LN11","LN11","REP","O","NL","M","Age 18 - 25",1,1,0
"54519","ONSLOW","MT24","MT24","REP","O","NL","M","Age 18 - 25",1,2,1
"54526","BLADEN","P80","P80","REP","O","NL","M","Age 18 - 25",1,1,0
"54548","ONSLOW","TL06","TL06","REP","O","NL","M","Age 18 - 25",2,5,3
"54549","ROCKINGHAM","MS","VA","REP","O","NL","M","Age 18 - 25",1,2,1
"54551","ONSLOW","WN04","WN04","REP","O","NL","M","Age 18 - 25",2,6,4
"54552","LINCOLN","WP32","WP32","REP","O","NL","M","Age 18 - 25",1,1,0
"54553","BURKE","0001","0001","UNA","O","NL","M","Age 18 - 25",1,4,3
"54556","BURKE","0019","0019","UNA","O","NL","M","Age 18 - 25",1,2,1
"54560","BURKE","0035","0035","UNA","O","NL","M","Age 18 - 25",1,2,1
"54564","BURKE","0048","0048","UNA","O","NL","M","Age 18 - 25",1,2,1
"54566","BURKE","0051","0051","UNA","O","NL","M","Age 18 - 25",2,5,3
"54567","ALAMANCE","01","01","UNA","O","NL","M","Age 18 - 25",2,2,0
"54568","CATAWBA","01","01","UNA","O","NL","M","Age 18 - 25",1,2,1
"54590","CATAWBA","02","02","UNA","O","NL","M","Age 18 - 25",2,2,0
"54593","ROBESON","02","02","UNA","O","NL","M","Age 18 - 25",1,1,0
"54625","ALAMANCE","03C","03C","UNA","O","NL","M","Age 18 - 25",1,2,1
"54626","ALAMANCE","03N","03N","UNA","O","NL","M","Age 18 - 25",1,3,2
"54627","ALAMANCE","03S","03S","UNA","O","NL","M","Age 18 - 25",1,3,2
"54646","CATAWBA","05","05","UNA","O","NL","M","Age 18 - 25",1,3,2
"54672","ALAMANCE","063","063","UNA","O","NL","M","Age 18 - 25",1,3,2
"54677","ALAMANCE","06E","06E","UNA","O","NL","M","Age 18 - 25",1,2,1
"54678","ALAMANCE","06W","06W","UNA","O","NL","M","Age 18 - 25",1,1,0
"54712","ALAMANCE","09S","09S","UNA","O","NL","M","Age 18 - 25",1,2,1
"54713","CATAWBA","10","10","UNA","O","NL","M","Age 18 - 25",1,1,0
"54727","ALAMANCE","10N","10N","UNA","O","NL","M","Age 18 - 25",1,2,1
"54741","ROBESON","12","12","UNA","O","NL","M","Age 18 - 25",2,4,2
"54755","ALAMANCE","12W","12W","UNA","O","NL","M","Age 18 - 25",1,1,0
"54756","CATAWBA","13","13","UNA","O","NL","M","Age 18 - 25",1,1,0
"54758","ROBESON","13","13","UNA","O","NL","M","Age 18 - 25",1,5,4
"54787","ROBESON","15","15","UNA","O","NL","M","Age 18 - 25",1,2,1
"54800","ROBESON","16","16","UNA","O","NL","M","Age 18 - 25",1,2,1
"54804","CATAWBA","17","17","UNA","O","NL","M","Age 18 - 25",1,4,3
"54818","ROBESON","18A","18A","UNA","O","NL","M","Age 18 - 25",2,4,2
"54849","ROBESON","21","21","UNA","O","NL","M","Age 18 - 25",1,4,3
"54860","ROBESON","22","22","UNA","O","NL","M","Age 18 - 25",6,26,20
"54868","ROBESON","23","23","UNA","O","NL","M","Age 18 - 25",1,3,2
"54877","CHATHAM","24","24","UNA","O","NL","M","Age 18 - 25",1,1,0
"54884","ROBESON","26A","26","UNA","O","NL","M","Age 18 - 25",1,3,2
"54885","CATAWBA","27","27","UNA","O","NL","M","Age 18 - 25",1,4,3
"54888","CATAWBA","28","28","UNA","O","NL","M","Age 18 - 25",1,2,1
"54893","CATAWBA","29","29","UNA","O","NL","M","Age 18 - 25",1,3,2
"54896","ROBESON","29","29","UNA","O","NL","M","Age 18 - 25",1,3,2
"54905","CATAWBA","33","33","UNA","O","NL","M","Age 18 - 25",1,6,5
"54907","ROBESON","33","33","UNA","O","NL","M","Age 18 - 25",1,2,1
"54908","CATAWBA","34","34","UNA","O","NL","M","Age 18 - 25",1,4,3
"54913","CATAWBA","35","35","UNA","O","NL","M","Age 18 - 25",1,4,3
"54915","CATAWBA","36","36","UNA","O","NL","M","Age 18 - 25",2,2,0
"54925","ROBESON","41","41","UNA","O","NL","M","Age 18 - 25",1,1,0
"54954","CHATHAM","85","85","UNA","O","NL","M","Age 18 - 25",1,1,0
"54961","DUPLIN","ALBE","ALBE","UNA","O","NL","M","Age 18 - 25",1,1,0
"54963","ROCKINGHAM","WS","AV","UNA","O","NL","M","Age 18 - 25",1,1,0
"54970","ONSLOW","BM08","BM08","UNA","O","NL","M","Age 18 - 25",5,18,13
"54996","ONSLOW","CL10","CL10","UNA","O","NL","M","Age 18 - 25",1,4,3
"55001","ROCKINGHAM","MS","CO","UNA","O","NL","M","Age 18 - 25",1,2,1
"55007","VANCE","CC","DABN","UNA","O","NL","M","Age 18 - 25",1,1,0
"55013","ROCKINGHAM","EC","EC","UNA","O","NL","M","Age 18 - 25",1,2,1
"55017","VANCE","NV","EH2","UNA","O","NL","M","Age 18 - 25",1,2,1
"55018","ONSLOW","EN03","EN03","UNA","O","NL","M","Age 18 - 25",2,25,23
"55088","ONSLOW","HM05","HM05","UNA","O","NL","M","Age 18 - 25",2,5,3
"55092","ONSLOW","JA01","JA01","UNA","O","NL","M","Age 18 - 25",2,30,28
"55103","ROCKINGHAM","LI","LI","UNA","O","NL","M","Age 18 - 25",1,2,1
"55106","LINCOLN","LB34","LM16","UNA","O","NL","M","Age 18 - 25",1,2,1
"55109","ROCKINGHAM","MA","MA","UNA","O","NL","M","Age 18 - 25",2,2,0
"55110","DUPLIN","MAGN","MAGN","UNA","O","NL","M","Age 18 - 25",1,2,1
"55114","CHATHAM","MCH110","MCH110","UNA","O","NL","M","Age 18 - 25",1,1,0
"55120","CHEROKEE","MURS","MURS","UNA","O","NL","M","Age 18 - 25",1,2,1
"55124","ONSLOW","NE22A","NE22","UNA","O","NL","M","Age 18 - 25",1,7,6
"55125","ONSLOW","NE22B","NE22","UNA","O","NL","M","Age 18 - 25",1,14,13
"55164","WILSON","PRTA","PRTA","UNA","O","NL","M","Age 18 - 25",1,4,3
"55165","WILSON","PRWJ","PRWJ","UNA","O","NL","M","Age 18 - 25",3,4,1
"55166","WILSON","PRWL","PRWL","UNA","O","NL","M","Age 18 - 25",1,3,2
"55167","WILSON","PRWM","PRWM","UNA","O","NL","M","Age 18 - 25",2,5,3
"55168","WILSON","PRWN","PRWN","UNA","O","NL","M","Age 18 - 25",1,2,1
"55179","VANCE","SH1","SH1","UNA","O","NL","M","Age 18 - 25",1,2,1
"55187","ONSLOW","VR15","VR15","UNA","O","NL","M","Age 18 - 25",2,3,1
"55200","ONSLOW","WN04","WN04","UNA","O","NL","M","Age 18 - 25",4,6,2
"55203","ROBESON","03","03","DEM","U","NL","M","Age 18 - 25",1,2,1
"55204","ALAMANCE","035","035","DEM","U","NL","M","Age 18 - 25",1,1,0
"55208","ROBESON","05A","05","DEM","U","NL","M","Age 18 - 25",1,1,0
"55227","ROBESON","18A","18A","DEM","U","NL","M","Age 18 - 25",1,1,0
"55228","ROBESON","19","19","DEM","U","NL","M","Age 18 - 25",1,1,0
"55232","ROBESON","22","22","DEM","U","NL","M","Age 18 - 25",1,1,0
"55233","ROBESON","23","23","DEM","U","NL","M","Age 18 - 25",1,2,1
"55236","ROBESON","41","41","DEM","U","NL","M","Age 18 - 25",2,2,0
"55241","SWAIN","BC2","BC2","DEM","U","NL","M","Age 18 - 25",1,1,0
"55243","DUPLIN","CHAR","CHAR","DEM","U","NL","M","Age 18 - 25",1,1,0
"55255","ONSLOW","HU20","HU20","DEM","U","NL","M","Age 18 - 25",1,1,0
"55256","LINCOLN","IS23","IS23","DEM","U","NL","M","Age 18 - 25",1,1,0
"55257","VANCE","KITT","KITT","DEM","U","NL","M","Age 18 - 25",1,2,1
"55261","WILSON","PRTA","PRTA","DEM","U","NL","M","Age 18 - 25",1,2,1
"55262","WILSON","PRWM","PRWM","DEM","U","NL","M","Age 18 - 25",1,2,1
"55264","NORTHAMPTON","SEABOA","SEABOA","DEM","U","NL","M","Age 18 - 25",1,1,0
"55265","DUPLIN","SMCA","SMCA","DEM","U","NL","M","Age 18 - 25",1,1,0
"55275","BURKE","0052","0052","REP","U","NL","M","Age 18 - 25",1,1,0
"55284","ALAMANCE","035","035","REP","U","NL","M","Age 18 - 25",1,1,0
"55294","ROBESON","08","08","REP","U","NL","M","Age 18 - 25",1,1,0
"55295","YANCEY","09 SOU","09-SOU","REP","U","NL","M","Age 18 - 25",1,1,0
"55300","ALAMANCE","125","125","REP","U","NL","M","Age 18 - 25",1,1,0
"55310","CATAWBA","23","23","REP","U","NL","M","Age 18 - 25",1,1,0
"55314","ROBESON","32A","31","REP","U","NL","M","Age 18 - 25",1,1,0
"55316","ROBESON","32A","32","REP","U","NL","M","Age 18 - 25",1,1,0
"55317","CATAWBA","34","34","REP","U","NL","M","Age 18 - 25",1,1,0
"55328","DUPLIN","FAIS","FAIS","REP","U","NL","M","Age 18 - 25",1,1,0
"55334","ONSLOW","JA01","JA01","REP","U","NL","M","Age 18 - 25",1,1,0
"55336","NORTHAMPTON","LASKER","LASKER","REP","U","NL","M","Age 18 - 25",1,1,0
"55338","ROCKINGHAM","MA","MA","REP","U","NL","M","Age 18 - 25",1,1,0
"55339","DUPLIN","MAGN","MAGN","REP","U","NL","M","Age 18 - 25",1,1,0
"55350","WILSON","PRWK","PRWK","REP","U","NL","M","Age 18 - 25",1,1,0
"55351","WILSON","PRWP","PRWP","REP","U","NL","M","Age 18 - 25",1,1,0
"55357","VANCE","CC","WATK","REP","U","NL","M","Age 18 - 25",1,1,0
"55358","SWAIN","WHCH","WHCH","REP","U","NL","M","Age 18 - 25",1,1,0
"55359","BURKE","0021","0021","UNA","U","NL","M","Age 18 - 25",1,1,0
"55361","BURKE","0047-A","0047","UNA","U","NL","M","Age 18 - 25",1,1,0
"55376","ALAMANCE","03W","03W","UNA","U","NL","M","Age 18 - 25",1,1,0
"55386","ALAMANCE","06S","06S","UNA","U","NL","M","Age 18 - 25",1,1,0
"55387","CATAWBA","08","08","UNA","U","NL","M","Age 18 - 25",1,1,0
"55389","ROBESON","09","09","UNA","U","NL","M","Age 18 - 25",1,1,0
"55409","ROBESON","22","22","UNA","U","NL","M","Age 18 - 25",14,40,26
"55410","ROBESON","25","25","UNA","U","NL","M","Age 18 - 25",1,1,0
"55411","ROBESON","26A","26","UNA","U","NL","M","Age 18 - 25",1,2,1
"55413","ROBESON","30","30","UNA","U","NL","M","Age 18 - 25",1,2,1
"55418","ROBESON","39","39","UNA","U","NL","M","Age 18 - 25",1,1,0
"55421","ROBESON","41","41","UNA","U","NL","M","Age 18 - 25",2,4,2
"55443","ONSLOW","FS16","FS16","UNA","U","NL","M","Age 18 - 25",1,1,0
"55477","NORTHAMPTON","GARYSB","GARYSB","UNA","U","NL","M","Age 18 - 25",1,1,0
"55484","ONSLOW","HM05","HM05","UNA","U","NL","M","Age 18 - 25",1,1,0
"55494","JONES","P02","P02","UNA","U","NL","M","Age 18 - 25",1,1,0
"55495","JONES","P04","P04","UNA","U","NL","M","Age 18 - 25",1,1,0
"55496","BLADEN","P15","P15","UNA","U","NL","M","Age 18 - 25",1,1,0
"55499","WILSON","PRGA","PRGA","UNA","U","NL","M","Age 18 - 25",1,1,0
"55500","WILSON","PROL","PROL","UNA","U","NL","M","Age 18 - 25",1,1,0
"55501","WILSON","PRSP","PRSP","UNA","U","NL","M","Age 18 - 25",1,1,0
"55502","WILSON","PRWP","PRWP","UNA","U","NL","M","Age 18 - 25",1,1,0
"55511","BURKE","0001","0001","DEM","W","NL","M","Age 18 - 25",11,22,11
"55525","BURKE","0011","0011","DEM","W","NL","M","Age 18 - 25",7,16,9
"55528","BURKE","0012","0012","DEM","W","NL","M","Age 18 - 25",3,10,7
"55530","BURKE","0013","0013","DEM","W","NL","M","Age 18 - 25",6,9,3
"55532","BURKE","0014","0014","DEM","W","NL","M","Age 18 - 25",3,6,3
"55534","BURKE","0015","0015","DEM","W","NL","M","Age 18 - 25",2,7,5
"55539","BURKE","0018","0018","DEM","W","NL","M","Age 18 - 25",1,2,1
"55541","BURKE","0019","0019","DEM","W","NL","M","Age 18 - 25",2,3,1
"55546","BURKE","0020","0020","DEM","W","NL","M","Age 18 - 25",2,5,3
"55548","BURKE","0021","0021","DEM","W","NL","M","Age 18 - 25",2,8,6
"55550","BURKE","0022","0022","DEM","W","NL","M","Age 18 - 25",7,19,12
"55553","BURKE","0024","0024","DEM","W","NL","M","Age 18 - 25",10,24,14
"55560","BURKE","0029-A","0029","DEM","W","NL","M","Age 18 - 25",2,13,11
"55561","BURKE","0029-B","0029","DEM","W","NL","M","Age 18 - 25",5,13,8
"55562","BURKE","0031","0031","DEM","W","NL","M","Age 18 - 25",4,7,3
"55564","BURKE","0034","0034","DEM","W","NL","M","Age 18 - 25",7,13,6
"55566","BURKE","0035","0035","DEM","W","NL","M","Age 18 - 25",4,12,8
"55568","BURKE","0036","0036","DEM","W","NL","M","Age 18 - 25",7,13,6
"55571","BURKE","0038","0038","DEM","W","NL","M","Age 18 - 25",6,15,9
"55573","BURKE","0039","0039","DEM","W","NL","M","Age 18 - 25",3,8,5
"55577","BURKE","0040","0040","DEM","W","NL","M","Age 18 - 25",6,16,10
"55581","BURKE","0047-A","0047","DEM","W","NL","M","Age 18 - 25",4,15,11
"55582","BURKE","0047-B","0047","DEM","W","NL","M","Age 18 - 25",5,11,6
"55583","BURKE","0048","0048","DEM","W","NL","M","Age 18 - 25",3,12,9
"55586","BURKE","0051","0051","DEM","W","NL","M","Age 18 - 25",7,19,12
"55587","BURKE","0052","0052","DEM","W","NL","M","Age 18 - 25",4,11,7
"55588","BURKE","0053","0053","DEM","W","NL","M","Age 18 - 25",9,14,5
"55591","BURKE","0062","0062","DEM","W","NL","M","Age 18 - 25",5,10,5
"55592","BURKE","0064","0064","DEM","W","NL","M","Age 18 - 25",4,6,2
"55593","BURKE","0065","0065","DEM","W","NL","M","Age 18 - 25",3,8,5
"55594","BURKE","0066","0066","DEM","W","NL","M","Age 18 - 25",3,15,12
"55597","BURKE","0070","0070","DEM","W","NL","M","Age 18 - 25",7,13,6
"55602","ALAMANCE","01","01","DEM","W","NL","M","Age 18 - 25",1,4,3
"55605","CATAWBA","01","01","DEM","W","NL","M","Age 18 - 25",3,12,9
"55667","YANCEY","01 BUR","01-BUR","DEM","W","NL","M","Age 18 - 25",21,31,10
"55699","ALAMANCE","02","02","DEM","W","NL","M","Age 18 - 25",6,8,2
"55703","CATAWBA","02","02","DEM","W","NL","M","Age 18 - 25",2,6,4
"55711","ROBESON","02","02","DEM","W","NL","M","Age 18 - 25",2,3,1
"55736","YANCEY","02 CAN","02-CAN","DEM","W","NL","M","Age 18 - 25",14,21,7
"55768","CATAWBA","03","03","DEM","W","NL","M","Age 18 - 25",6,12,6
"55776","ROBESON","03","03","DEM","W","NL","M","Age 18 - 25",6,11,5
"55802","ALAMANCE","035","035","DEM","W","NL","M","Age 18 - 25",30,49,19
"55816","ALAMANCE","03C","03C","DEM","W","NL","M","Age 18 - 25",6,7,1
"55817","ALAMANCE","03N","03N","DEM","W","NL","M","Age 18 - 25",30,46,16
"55818","ALAMANCE","03S","03S","DEM","W","NL","M","Age 18 - 25",9,15,6
"55819","ALAMANCE","03W","03W","DEM","W","NL","M","Age 18 - 25",3,5,2
"55820","ALAMANCE","04","04","DEM","W","NL","M","Age 18 - 25",5,10,5
"55823","CATAWBA","04","04","DEM","W","NL","M","Age 18 - 25",1,1,0
"55891","ALAMANCE","05","05","DEM","W","NL","M","Age 18 - 25",5,7,2
"55893","CATAWBA","05","05","DEM","W","NL","M","Age 18 - 25",4,12,8
"55905","ROBESON","05A","05","DEM","W","NL","M","Age 18 - 25",4,6,2
"55915","YANCEY","05 GRE","05-GRE","DEM","W","NL","M","Age 18 - 25",3,4,1
"55933","CATAWBA","06","06","DEM","W","NL","M","Age 18 - 25",3,7,4
"55955","YANCEY","06 JAC","06-JAC","DEM","W","NL","M","Age 18 - 25",7,11,4
"55963","ALAMANCE","063","063","DEM","W","NL","M","Age 18 - 25",1,3,2
"55966","ALAMANCE","064","064","DEM","W","NL","M","Age 18 - 25",8,13,5
"55979","ALAMANCE","06E","06E","DEM","W","NL","M","Age 18 - 25",3,7,4
"55980","ALAMANCE","06N","06N","DEM","W","NL","M","Age 18 - 25",3,5,2
"55981","ALAMANCE","06S","06S","DEM","W","NL","M","Age 18 - 25",3,7,4
"55983","ALAMANCE","07","07","DEM","W","NL","M","Age 18 - 25",7,8,1
"55986","CATAWBA","07","07","DEM","W","NL","M","Age 18 - 25",6,9,3
"55994","ROBESON","07","07","DEM","W","NL","M","Age 18 - 25",1,2,1
"56032","CATAWBA","08","08","DEM","W","NL","M","Age 18 - 25",2,7,5
"56040","ROBESON","08","08","DEM","W","NL","M","Age 18 - 25",4,11,7
"56057","YANCEY","08 CRA","08-CRA","DEM","W","NL","M","Age 18 - 25",10,20,10
"56073","ALAMANCE","08N","08N","DEM","W","NL","M","Age 18 - 25",1,9,8
"56074","ALAMANCE","08S","08S","DEM","W","NL","M","Age 18 - 25",4,7,3
"56077","CATAWBA","09","09","DEM","W","NL","M","Age 18 - 25",1,7,6
"56085","ROBESON","09","09","DEM","W","NL","M","Age 18 - 25",3,8,5
"56096","YANCEY","09 SOU","09-SOU","DEM","W","NL","M","Age 18 - 25",9,19,10
"56112","ALAMANCE","09S","09S","DEM","W","NL","M","Age 18 - 25",13,19,6
"56113","GATES","1","1","DEM","W","NL","M","Age 18 - 25",2,8,6
"56115","CATAWBA","10","10","DEM","W","NL","M","Age 18 - 25",1,2,1
"56134","YANCEY","10 PEN","10-PEN","DEM","W","NL","M","Age 18 - 25",1,2,1
"56151","ALAMANCE","103","103","DEM","W","NL","M","Age 18 - 25",1,9,8
"56173","ALAMANCE","10N","10N","DEM","W","NL","M","Age 18 - 25",4,9,5
"56174","ALAMANCE","10S","10S","DEM","W","NL","M","Age 18 - 25",9,26,17
"56175","ALAMANCE","11","11","DEM","W","NL","M","Age 18 - 25",3,5,2
"56179","CATAWBA","11","11","DEM","W","NL","M","Age 18 - 25",3,5,2
"56186","ROBESON","11","11","DEM","W","NL","M","Age 18 - 25",20,30,10
"56193","ROBESON","11A","11","DEM","W","NL","M","Age 18 - 25",2,2,0
"56199","YANCEY","11 PRI","11-PRI","DEM","W","NL","M","Age 18 - 25",5,6,1
"56226","CATAWBA","12","12","DEM","W","NL","M","Age 18 - 25",1,2,1
"56233","ROBESON","12","12","DEM","W","NL","M","Age 18 - 25",2,3,1
"56268","ALAMANCE","1210","1210","DEM","W","NL","M","Age 18 - 25",1,2,1
"56274","ALAMANCE","124","124","DEM","W","NL","M","Age 18 - 25",1,2,1
"56276","ALAMANCE","125","125","DEM","W","NL","M","Age 18 - 25",3,5,2
"56278","ALAMANCE","126","126","DEM","W","NL","M","Age 18 - 25",1,1,0
"56281","ALAMANCE","127","127","DEM","W","NL","M","Age 18 - 25",4,6,2
"56286","ALAMANCE","129","129","DEM","W","NL","M","Age 18 - 25",3,4,1
"56289","ALAMANCE","12E","12E","DEM","W","NL","M","Age 18 - 25",1,3,2
"56290","ALAMANCE","12S","12S","DEM","W","NL","M","Age 18 - 25",2,4,2
"56291","ALAMANCE","12W","12W","DEM","W","NL","M","Age 18 - 25",2,4,2
"56292","ALAMANCE","13","13","DEM","W","NL","M","Age 18 - 25",1,3,2
"56296","CATAWBA","13","13","DEM","W","NL","M","Age 18 - 25",3,4,1
"56302","ROBESON","13","13","DEM","W","NL","M","Age 18 - 25",7,16,9
"56335","CATAWBA","14","14","DEM","W","NL","M","Age 18 - 25",3,5,2
"56342","ROBESON","14","14","DEM","W","NL","M","Age 18 - 25",4,6,2
"56372","CHATHAM","15","15","DEM","W","NL","M","Age 18 - 25",5,7,2
"56411","CATAWBA","16","16","DEM","W","NL","M","Age 18 - 25",4,13,9
"56432","CATAWBA","17","17","DEM","W","NL","M","Age 18 - 25",2,5,3
"56456","CHATHAM","18","18","DEM","W","NL","M","Age 18 - 25",6,8,2
"56472","ROBESON","18A","18A","DEM","W","NL","M","Age 18 - 25",6,11,5
"56474","CATAWBA","19","19","DEM","W","NL","M","Age 18 - 25",1,2,1
"56502","GATES","2","2","DEM","W","NL","M","Age 18 - 25",4,6,2
"56506","CATAWBA","20","20","DEM","W","NL","M","Age 18 - 25",2,8,6
"56510","ROBESON","20","20","DEM","W","NL","M","Age 18 - 25",1,4,3
"56546","CATAWBA","21","21","DEM","W","NL","M","Age 18 - 25",2,5,3
"56547","CHATHAM","21","21","DEM","W","NL","M","Age 18 - 25",3,5,2
"56551","ROBESON","21","21","DEM","W","NL","M","Age 18 - 25",3,6,3
"56566","CATAWBA","22","22","DEM","W","NL","M","Age 18 - 25",5,14,9
"56570","ROBESON","22","22","DEM","W","NL","M","Age 18 - 25",6,21,15
"56586","CATAWBA","23","23","DEM","W","NL","M","Age 18 - 25",4,13,9
"56590","ROBESON","23","23","DEM","W","NL","M","Age 18 - 25",4,9,5
"56605","CATAWBA","24","24","DEM","W","NL","M","Age 18 - 25",3,8,5
"56617","CATAWBA","25","25","DEM","W","NL","M","Age 18 - 25",7,16,9
"56620","ROBESON","25","25","DEM","W","NL","M","Age 18 - 25",1,1,0
"56626","CATAWBA","26","26","DEM","W","NL","M","Age 18 - 25",2,2,0
"56632","ROBESON","26A","26","DEM","W","NL","M","Age 18 - 25",1,2,1
"56635","ROBESON","26A","27","DEM","W","NL","M","Age 18 - 25",1,1,0
"56636","CATAWBA","27","27","DEM","W","NL","M","Age 18 - 25",9,18,9
"56643","CATAWBA","28","28","DEM","W","NL","M","Age 18 - 25",5,13,8
"56652","CATAWBA","29","29","DEM","W","NL","M","Age 18 - 25",2,10,8
"56655","ROBESON","29","29","DEM","W","NL","M","Age 18 - 25",2,4,2
"56661","CHATHAM","3","3","DEM","W","NL","M","Age 18 - 25",3,5,2
"56663","GATES","3","3","DEM","W","NL","M","Age 18 - 25",2,3,1
"56664","CATAWBA","30","30","DEM","W","NL","M","Age 18 - 25",8,13,5
"56665","CHATHAM","30","30","DEM","W","NL","M","Age 18 - 25",3,3,0
"56668","ROBESON","30","30","DEM","W","NL","M","Age 18 - 25",1,1,0
"56677","CATAWBA","31","31","DEM","W","NL","M","Age 18 - 25",2,13,11
"56681","ROBESON","32A","31","DEM","W","NL","M","Age 18 - 25",2,7,5
"56684","CATAWBA","32","32","DEM","W","NL","M","Age 18 - 25",9,18,9
"56689","ROBESON","32A","32","DEM","W","NL","M","Age 18 - 25",2,4,2
"56692","CATAWBA","33","33","DEM","W","NL","M","Age 18 - 25",3,15,12
"56700","CATAWBA","34","34","DEM","W","NL","M","Age 18 - 25",2,11,9
"56709","CATAWBA","35","35","DEM","W","NL","M","Age 18 - 25",5,12,7
